onset_date,n
2022-07-06,4
2022-07-07,7
2022-07-08,27
2022-07-09,22
2022-07-10,16
2022-07-11,17
2022-07-12,21
2022-07-13,15
2022-07-14,36
2022-07-15,28
2022-07-16,28
2022-07-17,23
2022-07-18,25
2022-07-19,33
2022-07-20,40
2022-07-21,40
2022-07-22,39
2022-07-23,37
2022-07-24,46
2022-07-25,42
2022-07-26,42
2022-07-27,53
2022-07-28,67
2022-07-29,63
2022-07-30,86
2022-07-31,76
2022-08-01,79
2022-08-02,85
2022-08-03,103
2022-08-04,95
2022-08-05,113
2022-08-06,133
2022-08-07,133
2022-08-08,135
2022-08-09,147
2022-08-10,168
2022-08-11,183
2022-08-12,188
2022-08-13,259
2022-08-14,236
2022-08-15,250
2022-08-16,292
2022-08-17,313
2022-08-18,301
2022-08-19,372
2022-08-20,391
2022-08-21,380
2022-08-22,448
2022-08-23,498
2022-08-24,539
2022-08-25,542
2022-08-26,596
2022-08-27,648
2022-08-28,724
2022-08-29,735
2022-08-30,749
2022-08-31,786
2022-09-01,888
2022-09-02,1004
2022-09-03,1025
2022-09-04,1155
2022-09-05,1193
2022-09-06,1318
2022-09-07,1460
2022-09-08,1545
2022-09-09,1707
2022-09-10,1742
2022-09-11,1853
2022-09-12,2086
2022-09-13,2199
2022-09-14,2313
2022-09-15,2556
2022-09-16,2631
2022-09-17,2939
2022-09-18,3121
2022-09-19,3418
2022-09-20,3559
2022-09-21,3762
2022-09-22,4051
2022-09-23,4259
2022-09-24,4534
2022-09-25,4832
2022-09-26,5090
2022-09-27,5465
2022-09-28,5924
2022-09-29,6279
2022-09-30,6376
2022-10-01,6750
2022-10-02,7135
2022-10-03,7558
2022-10-04,7899
2022-10-05,8349
2022-10-06,8631
2022-10-07,8955
2022-10-08,9557
2022-10-09,9890
